WILLIAMS	1,625,252	774,920	47.68%	1	3
JOHNSON	1,932,812	669,333	34.63%	2	2
SMITH	2,442,977	564,572	23.11%	3	1
JONES	1,425,470	548,521	38.48%	4	5
BROWN	1,437,026	511,581	35.60%	5	4
JACKSON	708,099	375,576	53.04%	6	19
DAVIS	1,116,357	352,769	31.60%	7	8
THOMAS	756,142	293,005	38.75%	8	16
HARRIS	624,252	264,620	42.39%	9	25
ROBINSON	529,821	238,049	44.93%	10	30
TAYLOR	751,209	213,494	28.42%	11	17
WILSON	801,882	208,409	25.99%	12	14
MOORE	724,374	200,941	27.74%	13	18
WHITE	660,491	186,060	28.17%	14	24
LEWIS	531,781	185,273	34.84%	15	29
WALKER	523,129	183,357	35.05%	16	31
GREEN	430,182	159,038	36.97%	17	41
THOMPSON	664,644	156,657	23.57%	18	23
WASHINGTON	177,386	155,266	87.53%	19	145
ANDERSON	784,404	148,488	18.93%	20	15
SCOTT	439,530	144,693	32.92%	21	36
CARTER	376,966	134,162	35.59%	22	49
WRIGHT	458,980	129,570	28.23%	23	35
HILL	434,827	126,622	29.12%	24	39
ALLEN	482,607	126,298	26.17%	25	33
MILLER	1,161,437	124,971	10.76%	26	7
MITCHELL	384,486	124,958	32.50%	27	48
YOUNG	484,447	119,513	24.67%	28	32
LEE	693,023	113,171	16.33%	29	21
MARTIN	702,625	110,734	15.76%	30	20
CLARK	562,679	107,022	19.02%	31	27
KING	465,422	105,930	22.76%	32	34
EDWARDS	332,423	105,145	31.63%	33	58
TURNER	348,627	105,041	30.13%	34	54
COLEMAN	219,070	97,705	44.60%	35	107
JAMES	249,379	96,909	38.86%	36	85
EVANS	355,593	91,459	25.72%	37	53
HALL	407,076	87,888	21.59%	38	45
RICHARDSON	259,798	87,370	33.63%	39	80
ADAMS	427,865	85,145	19.90%	40	42
BROOKS	251,663	84,232	33.47%	41	82
PARKER	336,221	83,349	24.79%	42	56
JENKINS	222,653	81,892	36.78%	43	102
STEWART	324,957	80,784	24.86%	44	61
CAMPBELL	386,157	79,046	20.47%	45	47
HOWARD	264,826	78,097	29.49%	46	75
SIMMONS	210,182	75,981	36.15%	47	114
SANDERS	230,374	75,954	32.97%	48	94
HENDERSON	218,393	74,210	33.98%	49	109
COLLINS	329,770	73,967	22.43%	50	59
COOPER	280,791	73,371	26.13%	51	70
BELL	220,599	71,364	32.35%	52	106
WATSON	252,579	70,470	27.90%	53	81
ALEXANDER	204,621	69,653	34.04%	54	118
BUTLER	218,847	69,024	31.54%	55	108
BRYANT	192,773	68,589	35.58%	56	128
NELSON	424,958	67,866	15.97%	57	43
JORDAN	208,403	64,042	30.73%	58	116
MORRIS	318,884	64,032	20.08%	59	62
BARNES	218,241	63,901	29.28%	60	110
ROBERTS	376,774	62,997	16.72%	61	50
REED	277,030	62,692	22.63%	62	73
WOODS	177,425	62,631	35.30%	63	144
DIXON	159,480	62,612	39.26%	64	167
GRAY	246,116	61,849	25.13%	65	87
PHILLIPS	360,802	61,661	17.09%	66	52
GRIFFIN	198,406	61,129	30.81%	67	122
BAILEY	277,845	61,126	22.00%	68	72
POWELL	224,874	60,986	27.12%	69	101
BAKER	419,586	60,588	14.44%	70	44
FORD	184,832	59,146	32.00%	71	137
HOLMES	156,780	58,448	37.28%	72	171
BANKS	105,833	57,690	54.51%	73	292
DANIELS	146,570	56,488	38.54%	74	187
ROSS	229,368	56,103	24.46%	75	98
ROGERS	302,261	56,009	18.53%	76	66
PERRY	221,741	55,879	25.20%	77	103
PATTERSON	205,423	55,053	26.80%	78	117
JOSEPH	100,959	54,710	54.19%	79	313
FOSTER	227,764	54,527	23.94%	80	99
GRANT	142,277	53,937	37.91%	81	196
HUNTER	162,440	53,102	32.69%	82	160
HENRY	170,964	52,452	30.68%	83	149
OWENS	182,719	51,910	28.41%	84	140
MARSHALL	183,922	50,597	27.51%	85	139
MORGAN	286,280	49,441	17.27%	86	69
WALLACE	197,276	48,727	24.70%	87	123
GRAHAM	201,159	48,258	23.99%	88	120
PRICE	235,251	48,250	20.51%	89	91
WARD	260,464	48,186	18.50%	90	79
HAYES	194,246	47,959	24.69%	91	127
FREEMAN	169,149	47,937	28.34%	92	151
HAMILTON	201,746	47,834	23.71%	93	119
BOYD	153,469	47,222	30.77%	94	176
GORDON	161,833	47,174	29.15%	95	161
FRANKLIN	120,621	46,753	38.76%	96	251
HAWKINS	139,751	45,768	32.75%	97	200
SIMS	113,374	45,225	39.89%	98	270
ELLIS	188,968	44,351	23.47%	99	131
HARRISON	181,091	44,277	24.45%	100	141
BENNETT	247,599	43,404	17.53%	101	86
KELLY	267,394	43,371	16.22%	102	74
HICKS	158,320	42,556	26.88%	103	170
CRAWFORD	164,457	42,183	25.65%	104	156
GIBSON	190,667	41,527	21.78%	105	130
PORTER	163,054	41,416	25.40%	106	159
WATKINS	127,083	41,010	32.27%	107	240
JEFFERSON	55,179	40,965	74.24%	108	615
TUCKER	167,446	40,472	24.17%	109	153
WILLIS	130,152	40,438	31.07%	110	230
MATTHEWS	131,303	40,271	30.67%	111	226
MASON	160,213	40,213	25.10%	112	166
FIELDS	107,522	38,471	35.78%	113	288
HUGHES	236,271	38,111	16.13%	114	90
COOK	302,589	37,975	12.55%	115	65
REID	111,360	37,974	34.10%	116	275
SIMPSON	163,181	37,678	23.09%	117	158
HUDSON	134,963	37,007	27.42%	118	214
RUSSELL	221,558	36,978	16.69%	119	104
COLE	195,289	36,890	18.89%	120	126
WARREN	152,147	36,424	23.94%	121	181
WEST	195,818	36,187	18.48%	122	125
MURRAY	184,910	35,669	19.29%	123	136
MURPHY	308,417	35,560	11.53%	124	64
WELLS	176,230	35,246	20.00%	125	147
DOUGLAS	101,458	35,175	34.67%	126	311
MACK	71,056	34,860	49.06%	127	468
FRAZIER	92,152	34,428	37.36%	128	335
BRADLEY	136,720	34,303	25.09%	129	208
SHAW	160,400	33,989	21.19%	130	164
GREENE	126,101	33,467	26.54%	131	241
HARPER	124,461	32,634	26.22%	132	245
SPENCER	139,951	32,497	23.22%	133	199
CHARLES	61,211	32,417	52.96%	134	548
PERKINS	131,440	32,334	24.60%	135	223
PAYNE	142,601	32,271	22.63%	136	195
WEBB	168,878	32,222	19.08%	137	152
BYRD	92,904	32,135	34.59%	138	331
LAWRENCE	129,699	31,971	24.65%	139	232
OLIVER	115,900	31,815	27.45%	140	264
ROBERTSON	153,666	31,671	20.61%	141	175
COX	261,231	31,531	12.07%	142	78
MCDONALD	180,497	31,190	17.28%	143	143
AUSTIN	119,706	31,136	26.01%	144	253
BERRY	132,812	30,693	23.11%	145	222
LOVE	82,873	30,688	37.03%	146	385
MONTGOMERY	115,953	30,414	26.23%	147	263
BURTON	110,529	29,909	27.06%	148	280
MCCOY	110,744	29,580	26.71%	149	278
KNIGHT	136,713	29,544	21.61%	150	209
PIERRE	33,913	29,416	86.74%	151	1,026
BLACK	154,738	29,400	19.00%	152	174
STEPHENS	144,646	29,378	20.31%	153	190
NEAL	91,694	29,195	31.84%	154	337
PALMER	156,601	29,081	18.57%	155	172
HARVEY	115,662	28,915	25.00%	156	266
ANDREWS	133,799	28,874	21.58%	157	218
CUNNINGHAM	135,718	28,745	21.18%	158	211
HAYNES	85,974	28,535	33.19%	159	366
RILEY	133,872	28,475	21.27%	160	217
ARMSTRONG	135,044	28,373	21.01%	161	213
WADE	97,040	28,219	29.08%	162	319
FERGUSON	146,426	28,099	19.19%	163	188
PETERSON	278,297	28,080	10.09%	164	71
HAMPTON	69,472	27,997	40.30%	165	482
GLOVER	66,858	27,900	41.73%	166	501
LONG	229,374	27,754	12.10%	167	97
GARDNER	142,894	27,721	19.40%	168	194
MILES	84,942	27,479	32.35%	169	368
TATE	71,058	27,244	38.34%	170	467
CHAMBERS	94,988	27,072	28.50%	171	326
GARRETT	110,697	27,065	24.45%	172	279
HUNT	158,421	26,821	16.93%	173	169
SINGLETON	54,621	26,557	48.62%	174	622
REYNOLDS	200,247	26,453	13.21%	175	121
HINES	71,717	26,342	36.73%	176	462
CURRY	74,919	26,169	34.93%	177	436
HARDY	80,252	25,953	32.34%	178	399
LITTLE	105,936	25,700	24.26%	179	291
MOSLEY	47,963	25,497	53.16%	180	730
MILLS	151,942	25,481	16.77%	181	182
FISHER	214,703	25,313	11.79%	182	112
WALTON	73,854	25,258	34.20%	183	446
RICE	149,500	25,026	16.74%	184	184
CARR	119,076	24,792	20.82%	185	255
LAWSON	119,053	24,692	20.74%	186	256
CALDWELL	93,944	24,595	26.18%	187	327
ALSTON	30,693	24,502	79.83%	188	1,148
MYERS	229,895	24,231	10.54%	189	96
KENNEDY	176,865	24,107	13.63%	190	146
ROBERSON	56,180	24,034	42.78%	191	605
BOOKER	36,840	24,027	65.22%	192	941
TERRY	87,000	23,786	27.34%	193	361
GEORGE	128,625	23,744	18.46%	194	235
FRANCIS	78,327	23,733	30.30%	195	413
HOUSTON	56,900	23,608	41.49%	196	592
MCGEE	74,542	23,503	31.53%	197	439
DUNCAN	135,187	23,428	17.33%	198	212
RAY	133,171	23,358	17.54%	199	220
BURNS	165,925	23,329	14.06%	200	155
PERSON	67,411	23,264	34.51%	201	496
FULLER	110,116	23,190	21.06%	202	281
FLOWERS	57,549	23,181	40.28%	203	578
PEARSON	101,836	22,923	22.51%	204	308
WATTS	89,649	22,878	25.52%	205	348
INGRAM	69,345	22,870	32.98%	206	484
DORSEY	43,631	22,758	52.16%	207	793
THORNTON	83,967	22,738	27.08%	208	373
STEVENSON	75,169	22,694	30.19%	209	432
LANE	134,227	22,658	16.88%	210	216
GAINES	43,821	22,226	50.72%	211	788
STOKES	61,639	22,190	36.00%	212	542
WARE	49,316	22,133	44.88%	213	700
PARKS	88,586	22,067	24.91%	214	354
STEVENS	185,674	21,947	11.82%	215	135
CLARKE	68,281	21,918	32.10%	216	487
DENNIS	78,482	21,849	27.84%	217	409
DAWSON	83,182	21,528	25.88%	218	380
MCKINNEY	83,616	21,055	25.18%	219	377
HOLLOWAY	58,040	20,935	36.07%	220	576
REESE	73,919	20,875	28.24%	221	445
HORTON	85,195	20,702	24.30%	222	367
JENNINGS	89,700	20,685	23.06%	223	347
FLEMING	90,677	20,638	22.76%	224	342
DANIEL	80,526	20,582	25.56%	225	396
TYLER	66,056	20,471	30.99%	226	509
BATTLE	26,432	20,435	77.31%	227	1,332
GRAVES	84,179	20,363	24.19%	228	371
DUNN	141,427	20,351	14.39%	229	197
WILLIAMSON	114,959	20,014	17.41%	230	267
HOPKINS	96,810	20,001	20.66%	231	322
VAUGHN	88,060	19,963	22.67%	232	356
LUCAS	107,690	19,933	18.51%	233	286
WIGGINS	50,247	19,918	39.64%	234	685
JACOBS	118,614	19,820	16.71%	235	257
CLAY	48,844	19,782	40.50%	236	708
SUTTON	90,964	19,739	21.70%	237	341
RIVERS	38,662	19,691	50.93%	238	897
FLOYD	66,454	19,411	29.21%	239	505
RICHARDS	130,529	19,397	14.86%	240	228
DEAN	114,030	19,180	16.82%	241	269
MALONE	71,286	19,083	26.77%	242	465
BEIL	59,463	19,076	32.08%	243	565
MOSS	76,908	19,004	24.71%	244	423
MCCRAY	28,024	18,897	67.43%	245	1,252
BUSH	84,018	18,854	22.44%	246	372
HART	137,184	18,712	13.64%	247	207
CHAPMAN	127,939	18,705	14.62%	248	236
SHELTON	90,517	18,683	20.64%	249	344
HAIL	86,240	18,628	21.60%	250	364
LOGAN	67,909	18,539	27.30%	251	492
ARNOLD	138,893	18,528	13.34%	252	201
ALI	60,002	18,427	30.71%	253	559
GIBBS	65,064	18,407	28.29%	254	515
MOHAMED	27,972	18,350	65.60%	255	1,257
TOWNSEND	69,360	18,325	26.42%	256	483
GILBERT	114,940	18,298	15.92%	257	268
SAUNDERS	69,943	18,269	26.12%	258	476
RHODES	90,670	18,170	20.04%	259	343
RODGERS	76,095	18,141	23.84%	260	428
HOLLAND	102,538	18,118	17.67%	261	305
SIMON	80,460	18,112	22.51%	262	397
BATES	95,622	18,073	18.90%	263	325
